DeployIDs,Ptt,TagType,HistType,GMTDate,MonthNumb,LocationQuality,Latitude,Longitude,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24
EB14KKA-136707,138006,Spot,Percent,2/20/15,2,,,,,100,100,20,0,0,0,0,0,0,0,10,0,0,0,0,50,100,100,100,100,100,100,100,100
EB14KKA-136707,138006,Spot,Percent,2/23/15,2,,,,,0,40,100,100,100,20,3,0,30,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0
EB14KKA-136707,138006,Spot,Percent,2/28/15,2,,,,,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0
EB14KKA-136707,138006,Spot,Percent,3/6/15,3,,,,,0,0,0,0,0,40,3,3,3,0,0,0,30,20,0,3,0,0,0,0,0,3,0,0
EB14KKA-136707,138006,Spot,Percent,3/16/15,3,,,,,0,0,0,0,0,3,10,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EB14KKA-136707,138006,Spot,Percent,3/19/15,3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0
EB14KKA-136707,138006,Spot,Percent,3/22/15,3,,,,,0,3,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EB14KKA-136707,138006,Spot,Percent,3/25/15,3,,,,,0,0,3,0,20,100,100,100,100,100,100,40,3,0,0,0,0,0,0,0,0,0,0,0
EB14KKA-136707,138006,Spot,Percent,3/28/15,3,,,,,0,0,0,0,0,3,10,30,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
EB14KKA-136707,138006,Spot,Percent,3/29/15,3,,,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
EB14KKA-136707,138006,Spot,Percent,3/31/15,3,,,,,0,0,0,20,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,30,100,10,20
EB14KKA-136707,138006,Spot,Percent,4/1/15,4,,,,,100,100,20,0,0,0,10,100,100,40,0,0,0,0,0,0,0,0,0,3,20,100,100,100
EB14KKA-136707,138006,Spot,Percent,4/10/15,4,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,40,10,0,0,3,20,100,100,100,100
EB14KKA-136707,138006,Spot,Percent,4/11/15,4,,,,,100,100,100,100,100,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
EB14KKA-136707,138006,Spot,Percent,4/27/15,4,,,,,50,0,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,40,100,100,100,100
EB14KKA-136707,138006,Spot,Percent,5/1/15,5,,,,,100,100,100,100,100,100,100,100,100,10,0,0,0,0,0,3,20,100,100,100,100,100,100,100
EB14KKA-136707,138006,Spot,Percent,5/3/15,5,,,,,100,100,100,100,100,100,100,100,100,100,20,3,3,3,0,3,20,100,100,100,100,10,0,0
EB14KKA-136707,138006,Spot,Percent,5/6/15,5,,,,,100,10,0,10,20,100,100,100,100,100,40,0,0,3,10,10,0,10,100,100,100,100,100,100
