DeployIDs,Ptt,TagType,HistType,GMTDate,LocationQuality,Latitude,Longitude,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24
EB16SMK-158429,158441,UT,Percent,7/4/16 3:00,,,,,,,,10,50,10,3,0,50,40,3,3,3,3,0,3,30,100,40,70,100,30,3,0
EB16SMK-158429,158441,UT,Percent,7/5/16 0:00,,,,,20,10,3,3,30,0,3,3,0,10,3,40,0,30,98,98,100,90,100,30,3,50,100,100
EB16SMK-158429,158441,UT,Percent,8/7/16 0:00,,,,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,20,0,0,3,0,0,0,0,0
EB16SMK-158429,158441,UT,Percent,8/8/16 0:00,,,,,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,3,3,0,3
EB16SMK-158429,158441,UT,Percent,8/9/16 0:00,,,,,3,0,3,3,3,3,3,3,3,3,30,3,0,0,0,3,40,100,100,100,100,100,100,100
EB16SMK-158429,158441,UT,Percent,8/10/16 0:00,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EB16SMK-158429,158441,UT,Percent,8/11/16 0:00,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EB16SMK-158429,158441,UT,Percent,8/12/16 0:00,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
EB16SMK-158429,158441,UT,Percent,10/1/16 0:00,,,,,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,3,0,0,10,0,0,0,0,0
EB16SMK-158429,158441,UT,Percent,10/6/16 0:00,,,,,0,3,3,0,0,0,3,3,3,20,30,10,3,3,3,3,3,0,0,3,3,3,0,3
EB16SMK-158429,158441,UT,Percent,10/7/16 0:00,,,,,3,3,3,0,3,3,0,98,100,100,100,100,70,10,3,3,3,3,3,3,3,0,3,3
EB16SMK-158429,158441,UT,Percent,10/8/16 0:00,,,,,0,0,0,3,3,3,3,3,3,3,0,3,10,3,10,3,3,0,0,3,0,0,0,0
EB16SMK-158429,158441,UT,Percent,10/17/16 0:00,,,,,3,0,3,3,0,0,0,3,3,3,3,0,3,0,3,3,70,20,10,3,3,0,3,3
EB16SMK-158429,158441,UT,Percent,10/18/16 0:00,,,,,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
EB16SMK-158429,158441,UT,Percent,10/21/16 0:00,,,,,3,0,40,3,0,0,0,80,50,10,3,3,3,3,0,0,10,3,0,3,0,3,3,10
EB16SMK-158429,158441,UT,Percent,10/22/16 0:00,,,,,30,98,100,100,80,10,3,3,3,3,98,100,100,20,0,0,0,0,3,0,0,10,3,30
EB16SMK-158429,158441,UT,Percent,11/30/16 0:00,,,,,3,3,3,3,3,3,3,10,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3
