agency,speno,species,deploy_year,sex,age,location,region,permit,publications,adfg identifier,latitude,longitude
ADFG,EB2005_5958,Bearded seal,2005,M,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,Cameron et al 2018,NA,66.5461107,-163.3009923
ADFG,EB2005_5959,Bearded seal,2005,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,Cameron et al 2018,NA,66.5461107,-163.3009923
ADFG,EB2005_5962,Bearded seal,2005,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,Cameron et al 2018,NA,66.5461107,-163.3009923
ADFG,EB2005_5970,Bearded seal,2005,M,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,Cameron et al 2018,NA,66.5461107,-163.3009923
ADFG,EB2005_6020,Bearded seal,2005,M,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,Cameron et al 2018,NA,66.5461107,-163.3009923
ADFG,EB2005_6021,Bearded seal,2005,M,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,Cameron et al 2018,NA,66.5461107,-163.3009923
ADFG,EB2006_5939,Bearded seal,2006,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,Cameron et al 2018,NA,66.5461107,-163.3009923
ADFG,EB2006_5945,Bearded seal,2006,M,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1585,Cameron et al 2018,NA,66.5461107,-163.3009923
ADFG,KOTE-762-09,Bearded seal,2009,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1787,Breed et al 2018,NA,66.5461107,-163.3009923
ADFG,KOTE-773-09,Bearded seal,2009,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1787,Breed et al 2018,NA,66.5461107,-163.3009923
ADFG,KOTE-784-09,Bearded seal,2009,F,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1787,Breed et al 2018,NA,66.5461107,-163.3009923
ADFG,KOTE-789-09,Bearded seal,2009,M,SUBADULT,Kotzebue Sound,Kotzebue Sound,358-1787,Breed et al 2018,NA,66.5461107,-163.3009923
ADFG,EB14KKA-136707,Bearded seal,2014,M,SUBADULT,"Norton Sound, Koyuk River",Norton Sound,15324,Olnes et al 2020,NA,64.9163487,-161.1592344
ADFG,EB14KKA-136713,Bearded seal,2014,M,SUBADULT,"Norton Sound, Koyuk River",Norton Sound,15324,Olnes et al 2020,NA,64.9163487,-161.1592344
