DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
149374,149374,,Transmission,Mk10,1Percent,2019-09-12 06:00:00,16.000000,6,,,,,24,,0,0,0,0,0,0,85,55,27,100,100,100,100,100,100,100,100,100,47,19,10,11,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149374,149374,,Transmission,Mk10,1Percent,2019-09-13 00:00:00,16.000000,2,,,,,24,,16,9,9,8,9,7,7,7,6,8,9,9,16,8,12,12,11,13,11,12,17,13,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149374,149374,,Transmission,Mk10,1Percent,2019-09-14 00:00:00,16.000000,1,,,,,24,,17,16,13,13,16,14,14,15,18,17,12,8,6,3,6,4,5,1,6,3,5,3,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149374,149374,,Transmission,Mk10,1Percent,2019-09-18 00:00:00,16.000000,1,,,,,24,,1,24,16,14,14,4,17,3,6,10,16,14,16,16,15,16,14,14,12,12,11,10,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149374,149374,,Transmission,Mk10,1Percent,2019-09-19 00:00:00,16.000000,2,,,,,24,,13,13,14,8,5,13,33,22,14,14,16,18,19,6,17,17,17,16,17,16,15,15,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149374,149374,,Transmission,Mk10,1Percent,2019-09-20 00:00:00,16.000000,1,,,,,24,,11,3,6,6,14,12,11,27,19,13,13,10,11,12,11,11,9,9,9,9,11,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-09-23 00:00:00,1118.000000,2,,,,,24,,100,99,100,81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-09-24 00:00:00,1119.000000,4,,,,,24,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-09-25 00:00:00,1119.000000,3,,,,,24,,100,100,100,100,100,100,100,100,100,97,99,89,39,81,99,78,79,99,99,89,65,93,25,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149452,149452,,Transmission,Mk10,1Percent,2019-09-26 00:00:00,1120.000000,3,,,,,24,,20,10,10,9,9,13,11,10,9,9,10,8,6,7,7,3,5,4,5,8,7,7,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
